TimeStamp,Detector,Bit received,Bit index(/1250),Bit index(%ile) (1250),Index of predicted bit,Bit predicted 700 first bit 0 (1250),Bit predicted 700 first bit 1 (1250),Bit index(/2500),Bit index(%ile) (2500),Bit predicted 700 first bit 0 (2500),Bit predicted 700 first bit 1 (2500)
39458,2,1,31,708,32,1,0,15,1958,1,
34551,3,0,27,801,28,1,0,13,2051,1,
55228,2,1,44,228,45,0,1,22,228,1,
39821,3,0,31,1071,32,1,0,15,2321,1,
32489,3,0,25,1239,27,0,1,12,2489,0,
88342,2,1,70,842,71,0,1,35,842,1,
60668,3,0,48,668,49,0,1,24,668,1,
62709,2,1,50,209,51,0,1,25,209,1,
92226,2,1,73,976,74,1,0,36,2226,1,
14920,2,1,11,1170,13,0,1,5,2420,0,
73642,3,0,58,1142,60,1,0,29,1142,0,
90494,2,1,72,494,73,0,1,36,494,1,
34805,3,0,27,1055,28,1,0,13,2305,1,
61241,2,1,48,1241,50,1,0,24,1241,0,
24941,3,0,19,1191,21,0,1,9,2441,0,
63494,2,1,50,994,51,0,1,25,994,1,
82922,3,0,66,422,67,0,1,33,422,1,
50093,2,1,40,93,40,1,0,20,93,0,
78670,2,1,62,1170,64,1,0,31,1170,0,
50803,3,0,40,803,41,0,1,20,803,1,
44378,2,1,35,628,36,1,0,17,1878,1,
2289,3,0,1,1039,2,1,0,0,2289,1,
48141,2,1,38,641,39,0,1,19,641,1,
90400,3,0,72,400,73,0,1,36,400,1,
85224,3,0,68,224,69,0,1,34,224,1,
15270,3,0,12,270,13,0,1,6,270,1,
93757,3,0,75,7,75,0,1,37,1257,0,
46659,2,1,37,409,38,1,0,18,1659,1,
4594,2,1,3,844,4,1,0,1,2094,1,
80910,2,1,64,910,65,0,1,32,910,1,
17214,2,1,13,964,14,1,0,6,2214,1,
76916,2,1,61,666,62,1,0,30,1916,1,
73795,2,1,59,45,59,0,1,29,1295,0,
55569,3,0,44,569,45,0,1,22,569,1,
44021,2,1,35,271,36,1,0,17,1521,1,
60495,3,0,48,495,49,0,1,24,495,1,
98247,3,0,78,747,79,0,1,39,747,1,
14994,3,0,11,1244,13,0,1,5,2494,0,
58257,3,0,46,757,47,0,1,23,757,1,
27288,3,0,21,1038,22,1,0,10,2288,1,
79094,3,0,63,344,64,1,0,31,1594,1,
46443,2,1,37,193,38,1,0,18,1443,1,
54367,3,0,43,617,44,1,0,21,1867,1,
80893,2,1,64,893,65,0,1,32,893,1,
69943,3,0,55,1193,57,0,1,27,2443,0,
23290,2,1,18,790,19,0,1,9,790,1,
59704,2,1,47,954,48,1,0,23,2204,1,
93322,2,1,74,822,75,0,1,37,822,1,
54486,3,0,43,736,44,1,0,21,1986,1,
6683,2,1,5,433,6,1,0,2,1683,1,
22019,2,1,17,769,18,1,0,8,2019,1,
